creditor,debtor,amount,risk
0,0,116,0
100,100,119,0
200,200,140,0
300,300,194,0
400,400,193,0
500,500,229,0
600,600,242,0
700,700,256,0
800,800,282,0
900,900,227,0
1000,1000,554,1
1100,1100,527,1
1200,1200,665,1
1300,1300,664,1
1400,1400,661,1
1500,1500,993,1
1600,1600,1190,1
1700,1700,1229,1
1800,1800,1472,1
1900,1900,1548,1
2000,0,125,2
2000,200,122,2
2000,2000,4207,2
2100,100,104,2
2100,2100,3285,2
2200,200,190,2
2200,300,110,2
2200,2200,3917,2
2300,0,106,2
2300,200,111,2
2300,300,181,2
2300,2300,4035,2
2400,0,148,2
2400,100,117,2
2400,200,127,2
2400,400,171,2
2400,2400,4549,2
2500,0,219,2
2500,100,133,2
2500,200,154,2
2500,300,152,2
2500,400,121,2
2500,500,124,2
2500,600,113,2
2500,2500,6640,2
2500,2600,125,2
2500,2700,126,2
2600,0,249,2
2600,100,157,2
2600,200,122,2
2600,300,163,2
2600,400,132,2
2600,600,134,2
2600,2500,110,2
2600,2600,6528,2
2600,2700,158,2
2600,2800,105,2
2700,0,143,2
2700,200,150,2
2700,300,119,2
2700,400,121,2
2700,2600,115,2
2700,2700,5880,2
2700,2800,135,2
2800,2800,2039,2
